c3,Region
Sub-Saharan Africa (IDA & IBRD),NAM
Sub-Saharan Africa (IDA & IBRD),NER
Sub-Saharan Africa (IDA & IBRD),NGA
Sub-Saharan Africa (IDA & IBRD),RWA
Sub-Saharan Africa (IDA & IBRD),STP
Sub-Saharan Africa (IDA & IBRD),SEN
Sub-Saharan Africa (IDA & IBRD),SYC
Sub-Saharan Africa (IDA & IBRD),SLE
Sub-Saharan Africa (IDA & IBRD),SOM
Sub-Saharan Africa (IDA & IBRD),ZAF
Sub-Saharan Africa (IDA & IBRD),SSD
Sub-Saharan Africa (IDA & IBRD),SDN
Sub-Saharan Africa (IDA & IBRD),TZA
Sub-Saharan Africa (IDA & IBRD),TGO
Sub-Saharan Africa (IDA & IBRD),UGA
Sub-Saharan Africa (IDA & IBRD),ZMB
Sub-Saharan Africa (IDA & IBRD),ZWE
Upper middle income,ALB
Upper middle income,ASM
Upper middle income,ARG
Upper middle income,ARM
Upper middle income,AZE
Upper middle income,BLR
Upper middle income,BLZ
Upper middle income,BIH
Upper middle income,BWA
Upper middle income,BRA
Upper middle income,BGR
Upper middle income,CHN
Upper middle income,COL
Upper middle income,CRI
Upper middle income,CUB
Upper middle income,DMA
Upper middle income,DOM
Upper middle income,ECU
Upper middle income,GNQ
Upper middle income,FJI
Upper middle income,GAB
Upper middle income,GEO
Upper middle income,GRD
Upper middle income,GTM
Upper middle income,GUY
Upper middle income,IRQ
Upper middle income,JAM
Upper middle income,JOR
Upper middle income,KAZ
Upper middle income,XKX
Upper middle income,LBY
Upper middle income,MYS
Upper middle income,MDV
Upper middle income,MHL
Upper middle income,MUS
Upper middle income,MEX
Upper middle income,MDA
Upper middle income,MNE
Upper middle income,NAM
Upper middle income,MKD
Upper middle income,PLW
Upper middle income,PRY
Upper middle income,PER
Upper middle income,RUS
Upper middle income,SRB
Upper middle income,ZAF
Upper middle income,LCA
Upper middle income,VCT
Upper middle income,SUR
Upper middle income,THA
Upper middle income,TON
Upper middle income,TUR
Upper middle income,TKM
Upper middle income,TUV
World,AFG
World,ALB
World,DZA
World,ASM
World,AND
World,AGO
World,ATG
World,ARG
World,ARM
World,ABW
World,AUS
World,AUT
World,AZE
World,BHS
World,BHR
World,BGD
World,BRB
World,BLR
World,BEL
World,BLZ
World,BEN
World,BMU
World,BTN
World,BOL
World,BIH
World,BWA
World,BRA
World,VGB
World,BRN
World,BGR
World,BFA
World,BDI
World,CPV
World,KHM
World,CMR
World,CAN
World,CYM
World,CAF
World,TCD
World,CHI
World,CHL
World,CHN
World,COL
World,COM
World,COD
World,COG
World,CRI
World,CIV
World,HRV
World,CUB
World,CUW
World,CYP
World,CZE
World,DNK
World,DJI
World,DMA
World,DOM
World,ECU
World,EGY
World,SLV
World,GNQ
World,ERI
World,EST
World,SWZ
World,ETH
World,FRO
World,FJI
World,FIN
World,FRA
World,PYF
World,GAB
World,GMB
World,GEO
World,DEU
World,GHA
World,GIB
World,GRC
World,GRL
World,GRD
World,GUM
World,GTM
World,GIN
World,GNB
World,GUY
World,HTI
World,HND
World,HKG
World,HUN
World,ISL
World,IND
World,IDN
World,IRN
World,IRQ
World,IRL
World,IMN
World,ISR
World,ITA
World,JAM
World,JPN
World,JOR
World,KAZ
World,KEN
World,KIR
World,PRK
World,KOR
World,XKX
World,KWT
World,KGZ
World,LAO
World,LVA
World,LBN
World,LSO
World,LBR
World,LBY
World,LIE
World,LTU
World,LUX
World,MAC
World,MDG
World,MWI
World,MYS
World,MDV
World,MLI
World,MLT
World,MHL
World,MRT
World,MUS
World,MEX
World,FSM
World,MDA
World,MCO
World,MNG
World,MNE
World,MAR
World,MOZ
World,MMR
World,NAM
World,NRU
World,NPL
World,NLD
World,NCL
World,NZL
World,NIC
World,NER
World,NGA
World,MKD
World,MNP
World,NOR
World,OMN
World,PAK
World,PLW
World,PAN
World,PNG
World,PRY
World,PER
World,PHL
World,POL
World,PRT
World,PRI
World,QAT
World,ROU
World,RUS
World,RWA
World,WSM
World,SMR
World,STP
World,SAU
World,SEN
World,SRB
World,SYC
World,SLE
World,SGP
World,SXM
World,SVK
World,SVN
World,SLB
World,SOM
World,ZAF
World,SSD
World,ESP
World,LKA
World,KNA
World,LCA
World,MAF
World,VCT
World,SDN
World,SUR
World,SWE
World,CHE
World,SYR
World,TWN
World,TJK
World,TZA
World,THA
World,TLS
World,TGO
World,TON
World,TTO
World,TUN
World,TUR
World,TKM
World,TCA
World,TUV
World,UGA
World,UKR
World,ARE
World,GBR
World,USA
World,URY
World,UZB
World,VUT
World,VEN
World,VNM
World,VIR
World,PSE
World,YEM
World,ZMB
World,ZWE
